iter	F1	Logloss
150	0.8029375519	0.4488146077
151	0.8025598025	0.448540155
152	0.8031677329	0.4483160015
153	0.8035241937	0.4480135559
154	0.804892286	0.4475738762
155	0.8057824858	0.4469445056
156	0.8057035196	0.4466847412
157	0.8057957584	0.4462272031
158	0.8055897244	0.4459515915
159	0.805988546	0.4455677789
160	0.8063716282	0.4449454634
161	0.8066917151	0.4447024486
162	0.8069396611	0.4443283471
163	0.8074223986	0.4438103298
164	0.8076793112	0.4433839864
165	0.8076205165	0.4430677599
166	0.8077823915	0.4427639881
167	0.8078845607	0.4422558138
168	0.8081101413	0.4418836342
169	0.8080362955	0.4415592732
170	0.8082477118	0.441362657
171	0.8084560922	0.4411787402
172	0.8087391483	0.4408118374
173	0.8088029156	0.4404891228
174	0.8093091571	0.4401685085
175	0.8089758271	0.4397626149
176	0.8094345619	0.4395234732
177	0.8094379362	0.4393227137
178	0.8111899323	0.4378323617
179	0.8110406961	0.4376301855
180	0.8111561531	0.4373960796
181	0.8118481341	0.4371552975
182	0.8115320336	0.4368886927
183	0.8117263844	0.4366797683
184	0.8118754322	0.4364365845
185	0.8118250401	0.4361893037
186	0.8124304769	0.4358882982
187	0.8125515109	0.4354278547
188	0.8127077021	0.4350940385
189	0.813449187	0.4345124907
190	0.8133893312	0.434293184
191	0.8135110434	0.4341101708
192	0.8136235812	0.4337315578
193	0.8140498302	0.4333691051
194	0.8142371165	0.4331504865
195	0.8141715386	0.4329140797
196	0.8152655698	0.4314063544
197	0.8154545671	0.4303447578
198	0.8156460018	0.4294307573
199	0.8160850678	0.4289456919
200	0.8173117854	0.4285982691
201	0.8173435084	0.4279107811
202	0.8177702568	0.4277635212
203	0.8179660215	0.4274657448
204	0.8177211293	0.427214749
205	0.8176017183	0.4270277788
206	0.8181547478	0.4268335337
207	0.8183139789	0.4265813531
208	0.8185584632	0.4261664222
209	0.818490108	0.4258745376
210	0.8187939279	0.4257068076
211	0.8191642183	0.4251975964
212	0.8192797016	0.4249808939
213	0.8193777584	0.4247391848
214	0.8197962271	0.4245026256
215	0.8200759969	0.4242012774
216	0.8200138638	0.4240096475
217	0.820214612	0.423805027
218	0.8205384784	0.4236452828
219	0.8207909017	0.4234554634
220	0.8209027079	0.4231665413
221	0.8207668111	0.4228249544
222	0.8216562102	0.4225210376
223	0.8217945514	0.422370399
224	0.8215965376	0.4221214182
225	0.8217479146	0.4218112482
226	0.8217684625	0.4216514105
227	0.8218715657	0.4214959304
228	0.8218568303	0.4211361175
229	0.8215652113	0.4209420328
230	0.8216429356	0.420512231
231	0.8217076958	0.4201443101
232	0.8224333655	0.419952369
233	0.8226863821	0.4198188554
234	0.8226326495	0.4196308256
235	0.8229609094	0.4193868085
236	0.8228915467	0.4191862136
237	0.8235529341	0.4189388373
238	0.8235322053	0.4187299885
239	0.8234133805	0.4185667808
240	0.8232531503	0.4184046417
241	0.8228492519	0.4182005762
242	0.8230261241	0.4178892376
243	0.8231455275	0.4176985723
244	0.8230771829	0.4174565422
245	0.8231461697	0.4171861061
246	0.8239597371	0.4169018831
247	0.8242247895	0.4167656867
248	0.8249688713	0.4162453952
249	0.8247154797	0.4160134127
250	0.8246082948	0.4157747324
251	0.8245938515	0.4155931184
252	0.8246237367	0.415454253
253	0.8249452489	0.4152419418
254	0.8249916291	0.4150416188
255	0.8247216539	0.4148048611
256	0.8250143388	0.4144720953
257	0.8254275258	0.4142319094
258	0.8254760007	0.4140372824
259	0.8258126408	0.4138407281
260	0.8258970951	0.4136690405
261	0.8263804531	0.4135058514
262	0.8264258505	0.4133766442
263	0.8265059488	0.4129356044
264	0.8266993723	0.4126754559
265	0.8264937726	0.412519607
266	0.826864091	0.412334605
267	0.8265454	0.4122006391
268	0.8272739539	0.4117885269
269	0.8270815736	0.4115885468
270	0.8271435855	0.4114544565
271	0.8268297195	0.4112384092
272	0.8270376939	0.4110481995
273	0.8272510948	0.410902276
274	0.8266161807	0.4106690826
275	0.8269578871	0.4104815483
276	0.8270132313	0.4100449033
277	0.8274437684	0.4096872394
278	0.8272823101	0.4095381988
279	0.8275868966	0.4094508277
280	0.8277486302	0.4091450834
281	0.8278714039	0.4088759017
282	0.8280134552	0.4087079441
283	0.82772866	0.4085504199
284	0.8279100822	0.4083132032
285	0.8278742333	0.4081318791
286	0.8279742665	0.4079846182
287	0.8284906795	0.4077709739
288	0.8285798559	0.4075972465
289	0.8288146012	0.4074476675
290	0.8288617394	0.4071470825
291	0.8287731234	0.4068382427
292	0.8290233153	0.4065823609
293	0.8293962336	0.4062481528
294	0.8296183755	0.4060615795
295	0.8296505097	0.4059040297
296	0.8296143738	0.4057616288
297	0.829870542	0.4055133297
298	0.8299895564	0.4052877685
299	0.8299957776	0.4051130419
